county_code,zip_code,usps_zip_pref_city,usps_zip_pref_state
72005,00605,AGUADILLA,PR
72017,00617,BARCELONETA,PR
72051,00646,DORADO,PR
72083,00670,LAS MARIAS,PR
72035,00736,CAYEY,PR
72119,00745,RIO GRANDE,PR
72087,00772,LOIZA,PR
78010,00850,KINGSHILL,VI
72127,00902,SAN JUAN,PR
26163,48112,BELLEVILLE,MI
72127,00914,SAN JUAN,PR
72137,00950,TOA BAJA,PR
72127,00925,SAN JUAN,PR
72127,00927,SAN JUAN,PR
25015,01002,AMHERST,MA
25015,01004,AMHERST,MA
25013,01040,HOLYOKE,MA
25015,01098,WORTHINGTON,MA
25015,01082,WARE,MA
25013,01104,SPRINGFIELD,MA
25013,01103,SPRINGFIELD,MA
25003,01201,PITTSFIELD,MA
25003,01245,MONTEREY,MA
25003,01270,WINDSOR,MA
25011,01341,CONWAY,MA
25011,01378,WARWICK,MA
25011,01376,TURNERS FALLS,MA
25011,01373,SOUTH DEERFIELD,MA
25027,01453,LEOMINSTER,MA
25013,01521,HOLLAND,MA
25027,01516,DOUGLAS,MA
25017,01469,TOWNSEND,MA
25027,01536,NORTH GRAFTON,MA
25027,01603,WORCESTER,MA
25017,01701,FRAMINGHAM,MA
26163,48201,DETROIT,MI
25027,01609,WORCESTER,MA
25017,01731,HANSCOM AFB,MA
25017,01721,ASHLAND,MA
25017,01770,SHERBORN,MA
25009,01832,HAVERHILL,MA
25009,01845,NORTH ANDOVER,MA
25017,01862,NORTH BILLERICA,MA
25017,01880,WAKEFIELD,MA
25017,01886,WESTFORD,MA
25017,01890,WINCHESTER,MA
25009,01907,SWAMPSCOTT,MA
25009,01922,BYFIELD,MA
25021,02021,CANTON,MA
25009,01985,WEST NEWBURY,MA
25021,02081,WALPOLE,MA
25021,02072,STOUGHTON,MA
25023,02065,OCEAN BLUFF,MA
25021,02067,SHARON,MA
25025,02111,BOSTON,MA
25025,02210,BOSTON,MA
25021,02186,MILTON,MA
25021,02190,SOUTH WEYMOUTH,MA
42031,16353,TIONESTA,PA
25023,02346,MIDDLEBORO,MA
25023,02325,BRIDGEWATER,MA
25023,02338,HALIFAX,MA
25023,02333,EAST BRIDGEWATER,MA
25023,02367,PLYMPTON,MA
25017,02466,AUBURNDALE,MA
25017,02464,NEWTON UPPER FALLS,MA
25017,02474,ARLINGTON,MA
25001,02642,EASTHAM,MA
25005,02703,ATTLEBORO,MA
25005,02721,FALL RIVER,MA
25023,02738,MARION,MA
25005,02746,NEW BEDFORD,MA
44009,02807,BLOCK ISLAND,RI
44001,02809,BRISTOL,RI
44009,02822,EXETER,RI
44009,02832,HOPE VALLEY,RI
44007,02858,OAKLAND,RI
44009,02874,SAUNDERSTOWN,RI
44009,02879,WAKEFIELD,RI
44009,02882,NARRAGANSETT,RI
44009,02892,WEST KINGSTON,RI
44007,02906,PROVIDENCE,RI
44007,02910,CRANSTON,RI
33015,03042,EPPING,NH
33011,03060,NASHUA,NH
33011,03064,NASHUA,NH
33015,03087,WINDHAM,NH
33011,03102,MANCHESTER,NH
33013,03221,BRADFORD,NH
33011,03108,MANCHESTER,NH
33001,03253,MEREDITH,NH
33013,03230,DANBURY,NH
33009,03245,HOLDERNESS,NH
33013,03263,PITTSFIELD,NH
33013,03260,NORTH SUTTON,NH
33013,03276,TILTON,NH
33009,03285,THORNTON,NH
33009,03574,BETHLEHEM,NH
33007,03582,GROVETON,NH
33009,03740,BATH,NH
33019,03753,GRANTHAM,NH
33009,03777,ORFORD,NH
33009,03784,WEST LEBANON,NH
33003,03849,MADISON,NH
33003,03853,MIRROR LAKE,NH
23031,03907,OGUNQUIT,ME
23031,04002,ALFRED,ME
23031,03908,SOUTH BERWICK,ME
23023,04008,BOWDOINHAM,ME
23031,04030,EAST WATERBORO,ME
23005,04040,HARRISON,ME
23031,04073,SANFORD,ME
23031,04076,SHAPLEIGH,ME
23005,04091,WEST BALDWIN,ME
23005,04106,SOUTH PORTLAND,ME
23005,04101,PORTLAND,ME
42021,16640,FLINTON,PA
23015,04348,JEFFERSON,ME
23011,04349,KENTS HILL,ME
23021,04414,BROWNVILLE,ME
23027,04438,FRANKFORT,ME
23019,04455,LEE,ME
23019,04448,HOWLAND,ME
23009,04605,ELLSWORTH,ME
23009,04472,ORLAND,ME
23015,04535,ALNA,ME
23015,04551,BREMEN,ME
23009,04627,DEER ISLE,ME
23029,04658,MILBRIDGE,ME
23029,04667,PERRY,ME
23003,04736,CARIBOU,ME
23003,04750,LIMESTONE,ME
23019,04777,STACYVILLE,ME
23013,04864,WARREN,ME
23019,04939,GARLAND,ME
23025,04976,SKOWHEGAN,ME
50027,05060,RANDOLPH,VT
50023,05060,RANDOLPH,VT
50027,05059,QUECHEE,VT
50003,05250,ARLINGTON,VT
50025,05101,BELLOWS FALLS,VT
50003,05148,LONDONDERRY,VT
50025,05155,SOUTH LONDONDERRY,VT
50007,05403,SOUTH BURLINGTON,VT
50025,05353,TOWNSHEND,VT
50023,05601,MONTPELIER,VT
50011,05483,SHELDON,VT
50011,05488,SWANTON,VT
50001,05487,STARKSBORO,VT
50015,05672,STOWE,VT
50023,05650,EAST CALAIS,VT
50021,05738,CUTTINGSVILLE,VT
50001,05734,BRIDPORT,VT
50023,05676,WATERBURY,VT
50023,05680,WOLCOTT,VT
50019,05680,WOLCOTT,VT
50001,05778,WHITING,VT
50001,05770,SHOREHAM,VT
50019,05859,NORTH TROY,VT
50019,05871,WEST BURKE,VT
50005,05828,DANVILLE,VT
50005,05822,BARTON,VT
50019,05847,LOWELL,VT
09003,06013,BURLINGTON,CT
09003,06019,CANTON,CT
09003,06010,BRISTOL,CT
09003,06040,MANCHESTER,CT
09003,06066,VERNON ROCKVILLE,CT
09003,06074,SOUTH WINDSOR,CT
09013,06071,SOMERS,CT
09003,06085,UNIONVILLE,CT
26107,49332,MECOSTA,MI
09015,06259,POMFRET CENTER,CT
09015,06241,DAYVILLE,CT
09015,06256,NORTH WINDHAM,CT
09015,06279,WILLINGTON,CT
09013,06231,AMSTON,CT
09011,06379,PAWCATUCK,CT
09011,06385,WATERFORD,CT
09011,06339,LEDYARD,CT
26121,49415,FRUITPORT,MI
09011,06338,MASHANTUCKET,CT
